id,puzzle,solution,clues,difficulty
1,1..5.37..6.3..8.9......98...1.......8761..........6...........7.8.9.76.47...6.312,1.99E+80,27,2.2
2,...81.....2........1.9..7...7..25.934.2............5...975.....563.....4......68.,9.35E+80,23,0
3,..5...74.3..6...19.....1..5...7...2.9....58..7..84......3.9...2.9.4.....8.....1.3,2.16E+80,25,2.6
4,........5.2...9....9..2...373..481.....36....58....4...1...358...42.......978...2,4.74E+80,26,1.4
5,.4.1..............653.....1.8.9..74...24..91.......2.8...562....1..7..6...4..1..3,9.47E+80,25,1.1
6,5...634.....7.....1...5.83.....18..7..69......43...9...............7..2.32.64.5..,5.98E+80,24,0
7,..346..2..58.2...1.2.9...8...1....9.2..783.........3....9..6..........56.6..7.21.,9.13E+80,26,0
8,38.1.........5.6.....9....3.4.........5.18.......9.561.6..2478.8.......6..4.8..2.,3.86E+80,25,3.7
9,.......2...75...9.6....4........7....25.961..9......83...6..85.....1.....4.32..7.,8.94E+80,23,0
10,.75.....34......1....672.....9..16.....3....5.2.56...49.7.4......38.9............,2.75E+80,23,1.5
11,..3.8.5...4.....9.7..15.4..98...1..5..2.7983...5.6....1....6.5.8.....7..........4,6.24E+80,26,1.5
12,7.98.5...6..1..8.........9.8..4...1.....5..4.2....7..5..6...789.2.9..........3.6.,7.40E+80,24,0
13,8..9........524.....5.1.67..2......45.17....3.......164....8..1....6...7......89.,8.14E+80,24,1.6
14,............86..79.....54............53.9......67..58.5....2.4327.6.....8.94...5.,6.48E+80,24,1.8
15,.7.16....4....7........8..2..9...2.52..9..1.....5.36..6..2..8..91......3..7.....6,3.75E+80,24,3.3
16,9.4.728.....8.36..8..9.....6.9....1..83..7.....7.....22...385.....729..6...6.....,9.65E+80,27,3.3
17,..61.4.9.35...9......25.........5..8......2...324...718...9.3...95...7...4.7.1...,7.26E+80,26,1.2
18,.....48..79.58........9.....75....4.1.62.............751.3..2....48....16.24..5..,2.54E+80,25,0
19,...6..8....35.4...65..217...6..............5..7138..2...7.1.6.4.1.......9....3..7,7.43E+80,25,2.7
20,....3.76.5....91.29.........49..53.......327...52..........75.4..1.4.....6.......,1.25E+80,23,3.3
21,...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.,1.26E+80,23,0
22,.5.....43.1.....82.84..7.1..71.9....4.........23.1..6.8..1...26...7.4......9.2...,7.60E+80,26,3.9
23,7.82...6...4..8..9..1.5............2..6..1.4.3.....67..4.1.........45.87..5.7...3,7.58E+80,25,1.7
24,3...6..42.....5....61.3.....8...7..67...2.1.5.9....3......13...5....6.93..74.....,3.60E+80,25,0
25,..3..9........23......5..876.......53.94.....4....523...7.13.....6..8.9...12.....,1.64E+80,24,2.6
26,....27....13..4.....9..57...8....3..5..9..1......32...651....4...8....9.....4.6.5,8.65E+80,24,1.8
